opened_at,closed_at,direction,entry_hour_utc,zscore,adx,atr,atr_ratio,turn_confirmed,reference_price,entry_price,exit_price,sl_distance,size_oz,bars_held,mfe_r,mfe_before_exit_r,mae_r,ambiguous_ohlc_exit,stop_overshoot_r,diagnosis_tag,exit_reason,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,balance_after
2020-03-13T13:55:00+00:00,2020-03-13T14:45:00+00:00,LONG,13,-2.243,17.3763,2.5732,0.9222,True,1580.97,1581.2,1594.03,6.43,0.1555,10,2.1742,1.9891,0.3281,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.995065,0.098351,0.099149,1.797566,101.797566
2020-03-17T07:40:00+00:00,2020-03-17T08:00:00+00:00,LONG,7,-2.467,16.0979,2.361,0.6166,True,1496.9,1497.13,1487.46,5.9,0.1725,4,0.0305,0.0305,1.6339,False,0.6339,NO_REVERSAL,SL_HIT,-1.668075,0.103302,0.102635,-1.874012,99.923554
2020-04-07T08:40:00+00:00,2020-04-07T10:00:00+00:00,SHORT,8,2.38,13.9835,1.9152,0.7927,True,1662.92,1662.69,1668.97,4.79,0.2086,16,1.428,1.428,1.3048,False,0.3048,GAVE_BACK_AFTER_1R,SL_HIT,-1.310008,0.138735,0.139259,-1.588002,98.335552
2020-04-14T07:05:00+00:00,2020-04-14T08:15:00+00:00,LONG,7,-2.244,17.9449,1.7951,0.8755,True,1716.72,1716.95,1712.33,4.49,0.219,14,0.0824,0.0824,1.0223,False,0.0223,NO_REVERSAL,SL_HIT,-1.01178,0.150405,0.15,-1.312185,97.023367
2020-04-23T07:20:00+00:00,2020-04-23T08:50:00+00:00,SHORT,7,2.252,15.9755,1.7466,0.8688,True,1712.9,1712.67,1717.27,4.37,0.222,18,0.1876,0.1876,1.0458,False,0.0458,NO_REVERSAL,SL_HIT,-1.0212,0.152085,0.152494,-1.325779,95.697589
2020-05-11T11:45:00+00:00,2020-05-11T12:30:00+00:00,LONG,11,-2.391,17.3408,1.6418,1.1108,True,1704.2,1704.43,1700.01,4.1,0.2334,9,0.2098,0.2098,1.0707,False,0.0707,NO_REVERSAL,SL_HIT,-1.031628,0.159126,0.158713,-1.349467,94.348122
2020-06-03T15:05:00+00:00,2020-06-03T15:35:00+00:00,SHORT,15,2.343,16.2024,1.7931,1.0824,True,1724.6,1724.37,1715.44,4.48,0.2106,6,2.2835,1.7478,0.3304,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.880658,0.145261,0.144509,1.590888,95.939011
2020-08-06T14:35:00+00:00,2020-08-06T14:45:00+00:00,SHORT,14,2.247,17.7854,2.0951,0.9437,True,2054.37,2054.14,2059.75,5.24,0.1831,2,0.0515,0.0515,1.0649,False,0.0649,NO_REVERSAL,SL_HIT,-1.027191,0.150445,0.150856,-1.328492,94.610518
2020-09-01T15:25:00+00:00,2020-09-01T16:35:00+00:00,LONG,15,-2.262,13.9487,1.6573,1.0273,True,1986.77,1987.0,1978.75,4.14,0.2285,14,1.0821,1.0821,1.9855,False,0.9855,GAVE_BACK_AFTER_1R,SL_HIT,-1.885125,0.181612,0.180858,-2.247595,92.362924
2020-09-22T15:45:00+00:00,2020-09-22T16:10:00+00:00,SHORT,15,2.273,10.9671,2.48,1.2477,True,1911.3,1911.07,1917.78,6.2,0.149,5,0.0468,0.0468,1.0774,False,0.0774,NO_REVERSAL,SL_HIT,-0.99979,0.1139,0.1143,-1.227989,91.134934
2020-11-05T14:35:00+00:00,2020-11-05T14:50:00+00:00,SHORT,14,2.211,17.3984,1.9278,1.1623,True,1923.59,1923.36,1928.26,4.82,0.1891,3,0.0,0.0,1.0104,False,0.0104,NO_REVERSAL,SL_HIT,-0.92659,0.145483,0.145854,-1.217927,89.917008
2021-01-07T15:50:00+00:00,2021-01-07T16:40:00+00:00,LONG,15,-2.414,15.7709,2.1878,1.0349,True,1912.25,1912.48,1906.54,5.47,0.1644,10,1.2998,1.2998,1.0804,False,0.0804,GAVE_BACK_AFTER_1R,SL_HIT,-0.976536,0.125765,0.125374,-1.227675,88.689333
2021-01-11T14:25:00+00:00,2021-01-11T15:00:00+00:00,LONG,14,-2.402,14.163,1.8896,0.8196,True,1845.31,1845.54,1836.67,4.72,0.1879,7,0.2225,0.2225,1.8729,False,0.8729,NO_REVERSAL,SL_HIT,-1.666673,0.138711,0.138044,-1.943428,86.745905
2021-02-25T13:25:00+00:00,2021-02-25T13:40:00+00:00,LONG,13,-2.222,16.9646,1.819,0.9857,True,1789.34,1789.57,1783.22,4.55,0.1907,3,0.0,0.0,1.389,False,0.389,NO_REVERSAL,SL_HIT,-1.210945,0.136508,0.136024,-1.483477,85.262428
2022-11-15T15:35:00+00:00,2022-11-15T15:50:00+00:00,SHORT,15,2.881,16.0843,2.196,1.561,True,1785.57,1785.34,1774.39,5.49,0.1553,3,2.1712,1.5792,0.1949,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.700535,0.110905,0.110225,1.479405,86.741832
2024-04-08T13:40:00+00:00,2024-04-08T15:00:00+00:00,SHORT,13,2.238,16.9837,1.9916,0.8531,True,2342.75,2342.52,2332.59,4.98,0.1742,16,2.0703,1.1727,0.2108,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.729806,0.163227,0.162535,1.404044,88.145877
2024-04-16T09:35:00+00:00,2024-04-16T09:40:00+00:00,LONG,9,-2.612,17.2221,2.3177,1.3104,True,2376.22,2376.45,2368.44,5.79,0.1522,1,0.1209,0.0,1.3782,False,0.3782,NO_REVERSAL,SL_HIT,-1.219122,0.144678,0.144191,-1.507991,86.637886
2024-05-14T15:30:00+00:00,2024-05-14T16:10:00+00:00,LONG,15,-2.331,17.4445,1.9049,1.356,True,2341.25,2341.48,2350.97,4.76,0.182,8,2.2836,1.7983,0.0924,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.72718,0.17046,0.171151,1.38557,88.023455
2024-05-21T09:55:00+00:00,2024-05-21T14:05:00+00:00,LONG,9,-2.35,16.9914,2.1978,0.9559,True,2410.72,2410.95,2421.9,5.49,0.1603,50,2.1658,1.9964,0.4463,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.755285,0.15459,0.155292,1.445403,89.468858
