opened_at,closed_at,direction,entry_hour_utc,zscore,adx,atr,atr_ratio,turn_confirmed,reference_price,entry_price,exit_price,sl_distance,size_oz,bars_held,mfe_r,mfe_before_exit_r,mae_r,ambiguous_ohlc_exit,stop_overshoot_r,diagnosis_tag,exit_reason,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,balance_after
2020-03-13T11:55:00+00:00,2020-03-13T12:45:00+00:00,LONG,11,-2.243,17.3763,2.5732,0.9222,True,1580.97,1581.2,1594.03,6.43,0.1555,10,2.1742,1.9891,0.3281,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.995065,0.098351,0.099149,1.797566,101.797566
2020-03-18T15:05:00+00:00,2020-03-18T17:25:00+00:00,LONG,15,-2.341,16.7369,6.5132,1.0802,True,1492.74,1492.97,1474.01,16.28,0.0625,28,0.2568,0.2568,1.1628,False,0.1628,WEAK_REVERSAL,SL_HIT,-1.185,0.037324,0.03685,-1.259175,100.538391
2020-04-24T14:05:00+00:00,2020-04-24T15:40:00+00:00,LONG,14,-2.727,17.9014,3.524,1.5798,True,1719.91,1720.14,1710.63,8.81,0.1141,19,0.6595,0.6595,1.076,False,0.076,PARTIAL_REVERSAL,SL_HIT,-1.085091,0.078507,0.078073,-1.241671,99.29672
2020-05-11T08:45:00+00:00,2020-05-11T09:30:00+00:00,LONG,8,-2.391,17.3408,1.6418,1.1108,True,1704.2,1704.43,1700.01,4.1,0.2422,9,0.2098,0.2098,1.0707,False,0.0707,NO_REVERSAL,SL_HIT,-1.070524,0.165125,0.164697,-1.400346,97.896374
2020-06-03T12:05:00+00:00,2020-06-03T12:35:00+00:00,SHORT,12,2.343,16.2024,1.7931,1.0824,True,1724.6,1724.37,1715.44,4.48,0.2185,6,2.2835,1.7478,0.3304,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.951205,0.15071,0.149929,1.650566,99.546939
2020-08-06T11:35:00+00:00,2020-08-06T11:45:00+00:00,SHORT,11,2.247,17.7854,2.0951,0.9437,True,2054.37,2054.14,2059.75,5.24,0.19,2,0.0515,0.0515,1.0649,False,0.0649,NO_REVERSAL,SL_HIT,-1.0659,0.156115,0.156541,-1.378556,98.168384
2020-08-13T16:55:00+00:00,2020-08-13T17:20:00+00:00,SHORT,16,2.282,16.8908,2.6692,0.7443,True,1953.93,1953.7,1961.1,6.67,0.1472,5,0.2909,0.2909,1.1049,False,0.1049,WEAK_REVERSAL,SL_HIT,-1.08928,0.115034,0.11547,-1.319783,96.8486
2020-09-01T12:25:00+00:00,2020-09-01T13:35:00+00:00,LONG,12,-2.262,13.9487,1.6573,1.0273,True,1986.77,1987.0,1978.75,4.14,0.2339,14,1.0821,1.0821,1.9855,False,0.9855,GAVE_BACK_AFTER_1R,SL_HIT,-1.929675,0.185904,0.185132,-2.300711,94.54789
2020-09-22T12:45:00+00:00,2020-09-22T13:10:00+00:00,SHORT,12,2.273,10.9671,2.48,1.2477,True,1911.3,1911.07,1917.78,6.2,0.1525,5,0.0468,0.0468,1.0774,False,0.0774,NO_REVERSAL,SL_HIT,-1.023275,0.116575,0.116985,-1.256835,93.291055
2020-11-02T16:10:00+00:00,2020-11-03T02:00:00+00:00,SHORT,16,2.402,13.2426,1.7986,1.0878,True,1894.45,1894.22,1898.84,4.5,0.2073,104,0.8644,0.8644,1.02,False,0.02,PARTIAL_REVERSAL,SL_HIT,-0.957726,0.157069,0.157452,-1.272247,92.018808
