z_entry,adx_max,sl_atr,tp_r,session_start,session_end,require_turn,be_r,opposing_sma_slope_max_atr,max_signal_bar_range_atr,rejection_close_min,require_close_inside_prior20,max_relative_volume,label,window,trades,wins,losses,final_balance,net_pnl,return_pct,profit_factor,max_realized_dd,fees
2.2,18.0,2.5,2.0,7,17,True,,,,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,17,4,13,87.9297,-12.0703,-12.0703,0.3487408997838956,16.8833,4.2138
2.4,18.0,2.5,2.0,7,17,True,,,,,False,,Z2.4|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,5,1,4,95.6128,-4.3872,-4.3872,0.270996151687217,6.0181,1.3045
2.6,18.0,2.5,2.0,7,17,True,,,,,False,,Z2.6|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,2,1,1,100.4786,0.4786,0.4786,1.3874897683622966,1.2351,0.4119
2.8,18.0,2.5,2.0,7,17,True,,,,,False,,Z2.8|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,1,1,0,101.7347,1.7347,1.7347,,0.0,0.2593
2.2,14.0,2.5,2.0,7,17,True,,,,,False,,Z2.2|ADX≤14|SL2.5ATR|TP2R|07-17|turn|off,Development,4,0,4,93.7145,-6.2855,-6.2855,0.0,6.2855,1.1572
2.4,14.0,2.5,2.0,7,17,True,,,,,False,,Z2.4|ADX≤14|SL2.5ATR|TP2R|07-17|turn|off,Development,1,0,1,98.6363,-1.3637,-1.3637,0.0,1.3637,0.3371
2.6,14.0,2.5,2.0,7,17,True,,,,,False,,Z2.6|ADX≤14|SL2.5ATR|TP2R|07-17|turn|off,Development,0,0,0,100.0,0.0,0.0,,0.0,0.0
2.2,20.0,2.5,2.0,7,17,True,,,,,False,,Z2.2|ADX≤20|SL2.5ATR|TP2R|07-17|turn|off,Development,38,9,29,75.2495,-24.7505,-24.7505,0.3351080676167099,26.0337,8.9629
2.4,20.0,2.5,2.0,7,17,True,,,,,False,,Z2.4|ADX≤20|SL2.5ATR|TP2R|07-17|turn|off,Development,14,5,9,94.9027,-5.0973,-5.0973,0.5939479084742232,6.7158,3.8952
2.4,20.0,2.5,2.0,7,17,True,,,,,False,,Z2.4|ADX≤20|SL2.5ATR|TP2R|07-17|turn|off,Development,14,5,9,94.9027,-5.0973,-5.0973,0.5939479084742232,6.7158,3.8952
2.4,20.0,2.5,2.0,7,12,True,,,,,False,,Z2.4|ADX≤20|SL2.5ATR|TP2R|07-12|turn|off,Development,1,0,1,98.6345,-1.3655,-1.3655,0.0,1.3655,0.3072
2.4,20.0,2.5,2.0,12,17,True,,,,,False,,Z2.4|ADX≤20|SL2.5ATR|TP2R|12-17|turn|off,Development,13,5,8,96.2185,-3.7815,-3.7815,0.6665798036809092,5.8396,3.6376
