z_entry,adx_max,sl_atr,tp_r,session_start,session_end,require_turn,be_r,label,window,trades,wins,losses,final_balance,net_pnl,return_pct,profit_factor,max_realized_dd,fees
2.2,18.0,2.5,2.0,7,17,True,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,15,3,12,86.7418,-13.2582,-13.2582,0.26855630384693147,16.5351,4.0989
2.4,18.0,2.5,2.0,7,17,True,,Z2.4|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,4,1,3,96.3408,-3.6592,-3.6592,0.3099054978372853,5.3024,1.0241
2.6,18.0,2.5,2.0,7,17,True,,Z2.6|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,1,1,0,101.7347,1.7347,1.7347,,0.0,0.2593
2.8,18.0,2.5,2.0,7,17,True,,Z2.8|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,1,1,0,101.7347,1.7347,1.7347,,0.0,0.2593
2.2,14.0,2.5,2.0,7,17,True,,Z2.2|ADX≤14|SL2.5ATR|TP2R|07-17|turn|off,Development,3,0,3,94.7949,-5.2051,-5.2051,0.0,5.2051,0.8927
2.4,14.0,2.5,2.0,7,17,True,,Z2.4|ADX≤14|SL2.5ATR|TP2R|07-17|turn|off,Development,0,0,0,100.0,0.0,0.0,,0.0,0.0
2.6,14.0,2.5,2.0,7,17,True,,Z2.6|ADX≤14|SL2.5ATR|TP2R|07-17|turn|off,Development,0,0,0,100.0,0.0,0.0,,0.0,0.0
2.2,20.0,2.5,2.0,7,17,True,,Z2.2|ADX≤20|SL2.5ATR|TP2R|07-17|turn|off,Development,30,6,24,75.6098,-24.3902,-24.3902,0.2630990461730507,26.0878,7.6513
2.4,20.0,2.5,2.0,7,17,True,,Z2.4|ADX≤20|SL2.5ATR|TP2R|07-17|turn|off,Development,10,3,7,94.2,-5.8,-5.8,0.44870132746584157,7.6249,2.8326
2.4,20.0,2.5,2.0,7,17,True,,Z2.4|ADX≤20|SL2.5ATR|TP2R|07-17|turn|off,Development,10,3,7,94.2,-5.8,-5.8,0.44870132746584157,7.6249,2.8326
2.4,20.0,2.5,2.0,7,12,True,,Z2.4|ADX≤20|SL2.5ATR|TP2R|07-12|turn|off,Development,2,0,2,96.8181,-3.1819,-3.1819,0.0,3.1819,0.5068
2.4,20.0,2.5,2.0,12,17,True,,Z2.4|ADX≤20|SL2.5ATR|TP2R|12-17|turn|off,Development,8,3,5,97.294,-2.706,-2.706,0.6430500694386924,6.2621,2.4024
2.4,20.0,2.5,2.0,12,16,True,,Z2.4|ADX≤20|SL2.5ATR|TP2R|12-16|turn|off,Development,7,2,5,95.6943,-4.3057,-4.3057,0.4224844962497783,6.1584,2.0465
