z_entry,adx_max,sl_atr,tp_r,session_start,session_end,require_turn,be_r,opposing_sma_slope_max_atr,max_signal_bar_range_atr,rejection_close_min,require_close_inside_prior20,max_relative_volume,label,window,trades,wins,losses,final_balance,net_pnl,return_pct,profit_factor,max_realized_dd,fees
2.2,18.0,2.5,2.0,7,17,True,,,,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Development,17,4,13,87.9297,-12.0703,-12.0703,0.3487408997838956,16.8833,4.2138
2.2,18.0,2.5,2.0,7,17,True,,0.25,,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|slope≤0.25,Development,6,1,5,93.0275,-6.9725,-6.9725,0.20496703174688383,8.77,1.5845
2.2,18.0,2.5,2.0,7,17,True,,0.5,,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|slope≤0.5,Development,11,2,9,89.7112,-10.2888,-10.2888,0.2443745072783549,13.6162,2.7246
2.2,18.0,2.5,2.0,7,17,True,,1.0,,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|slope≤1,Development,17,4,13,87.9297,-12.0703,-12.0703,0.3487408997838956,16.8833,4.2138
2.2,18.0,2.5,2.0,7,17,True,,,1.25,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|bar≤1.25ATR,Development,14,4,10,92.3377,-7.6623,-7.6623,0.4648929073871639,12.8836,3.7541
2.2,18.0,2.5,2.0,7,17,True,,,1.5,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|bar≤1.5ATR,Development,15,4,11,90.1444,-9.8556,-9.8556,0.40040228270311967,15.0015,4.0785
2.2,18.0,2.5,2.0,7,17,True,,,2.0,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|bar≤2ATR,Development,17,4,13,87.9297,-12.0703,-12.0703,0.3487408997838956,16.8833,4.2138
2.2,18.0,2.5,2.0,7,17,True,,,,0.6,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|CLV≥0.6,Development,7,1,6,93.5801,-6.4199,-6.4199,0.2039239165504724,6.4199,1.6274
2.2,18.0,2.5,2.0,7,17,True,,,,0.7,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|CLV≥0.7,Development,6,0,6,92.0289,-7.9711,-7.9711,0.0,7.9711,1.3096
2.2,18.0,2.5,2.0,7,17,True,,,,,True,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|inside20,Development,17,4,13,87.9297,-12.0703,-12.0703,0.3487408997838956,16.8833,4.2138
2.2,18.0,2.5,2.0,7,17,True,,,,,False,1.5,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|vol≤1.5x,Development,11,3,8,93.4072,-6.5928,-6.5928,0.43657488287182106,10.0296,2.7186
2.2,18.0,2.5,2.0,7,17,True,,,,,False,2.0,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|vol≤2x,Development,13,3,10,90.8826,-9.1174,-9.1174,0.3570963795237278,12.5099,3.3021
2.2,18.0,2.5,2.0,7,17,True,,0.5,1.5,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|slope≤0.5+bar≤1.5ATR,Development,9,2,7,91.9715,-8.0285,-8.0285,0.2954376826755273,11.395,2.5517
2.2,18.0,2.5,2.0,7,17,True,,0.5,1.5,0.6,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|slope≤0.5+bar≤1.5ATR+CLV≥0.6,Development,2,0,2,96.9484,-3.0516,-3.0516,0.0,3.0516,0.5891
2.2,18.0,2.5,2.0,7,17,True,,0.5,1.5,,True,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|slope≤0.5+bar≤1.5ATR+inside20,Development,9,2,7,91.9715,-8.0285,-8.0285,0.2954376826755273,11.395,2.5517
2.2,18.0,2.5,2.0,7,17,True,,,,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Baseline — Validation (2023-2024),11,5,6,99.6764,-0.3236,-0.3236,0.9618850394427573,5.4738,3.5211
2.2,18.0,2.5,2.0,7,17,True,,,1.25,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|bar≤1.25ATR,Development-selected regime filter — Validation (2023-2024),6,2,4,97.4652,-2.5348,-2.5348,0.5506033680877629,2.8301,1.8974
2.2,18.0,2.5,2.0,7,17,True,,,,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off,Baseline — Holdout (2025 onward),24,10,14,92.0844,-7.9156,-7.9156,0.6524992610826559,9.9336,8.5598
2.2,18.0,2.5,2.0,7,17,True,,,1.25,,False,,Z2.2|ADX≤18|SL2.5ATR|TP2R|07-17|turn|off|bar≤1.25ATR,Development-selected regime filter — Holdout (2025 onward),20,8,12,91.6014,-8.3986,-8.3986,0.5848716481966842,10.0679,7.3688
