config_id,context,setup,direction,trend_adx_min,range_adx_max,trend_ema_separation_atr,range_ema_separation_atr,atr_ratio_min,atr_ratio_max,ema_touch_atr,rsi_level,rsi_reclaim,cci_level,bb_width_percentile_max,breakout_range_atr,require_vwap,vwap_distance_atr,require_confirmation_break,stop_atr,target_rr,max_hold_bars,parameters_json
BULL_PULLBACK-C01,BULL_PULLBACK,pullback,LONG,18.0,18.0,0.15,0.4,0.85,2.1,0.2,40.0,50.0,0.0,0.15,1.0,False,0.25,True,1.5,2.0,24,"{""atr_ratio_max"":2.1,""atr_ratio_min"":0.85,""bb_width_percentile_max"":0.15,""breakout_range_atr"":1.0,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.2,""max_hold_bars"":24,""range_adx_max"":18.0,""range_ema_separation_atr"":0.4,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":40.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":1.5,""target_rr"":2.0,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.15,""vwap_distance_atr"":0.25}"
BULL_PULLBACK-C02,BULL_PULLBACK,pullback,LONG,18.0,22.0,0.15,0.25,0.45,1.8,0.2,40.0,48.0,50.0,0.15,1.2,True,0.5,False,1.25,1.25,48,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.15,""breakout_range_atr"":1.2,""cci_level"":50.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.2,""max_hold_bars"":48,""range_adx_max"":22.0,""range_ema_separation_atr"":0.25,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":40.0,""rsi_reclaim"":48.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.25,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.15,""vwap_distance_atr"":0.5}"
BULL_PULLBACK-C03,BULL_PULLBACK,pullback,LONG,22.0,18.0,0.15,0.4,0.45,1.5,0.0,40.0,50.0,25.0,0.25,0.8,False,0.5,False,2.0,2.0,48,"{""atr_ratio_max"":1.5,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.25,""breakout_range_atr"":0.8,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.0,""max_hold_bars"":48,""range_adx_max"":18.0,""range_ema_separation_atr"":0.4,""require_confirmation_break"":false,""require_vwap"":false,""rsi_level"":40.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":2.0,""target_rr"":2.0,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.15,""vwap_distance_atr"":0.5}"
BULL_PULLBACK-C04,BULL_PULLBACK,pullback,LONG,26.0,14.0,0.3,0.1,0.85,2.1,0.4,45.0,52.0,0.0,0.15,1.0,False,0.5,True,1.25,1.25,48,"{""atr_ratio_max"":2.1,""atr_ratio_min"":0.85,""bb_width_percentile_max"":0.15,""breakout_range_atr"":1.0,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.4,""max_hold_bars"":48,""range_adx_max"":14.0,""range_ema_separation_atr"":0.1,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":45.0,""rsi_reclaim"":52.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.25,""trend_adx_min"":26.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.5}"
BULL_PULLBACK-C05,BULL_PULLBACK,pullback,LONG,22.0,22.0,0.15,0.1,0.45,1.8,0.0,40.0,48.0,25.0,0.15,1.2,False,0.0,False,1.5,1.5,24,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.15,""breakout_range_atr"":1.2,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.0,""max_hold_bars"":24,""range_adx_max"":22.0,""range_ema_separation_atr"":0.1,""require_confirmation_break"":false,""require_vwap"":false,""rsi_level"":40.0,""rsi_reclaim"":48.0,""setup"":""pullback"",""stop_atr"":1.5,""target_rr"":1.5,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.15,""vwap_distance_atr"":0.0}"
BULL_PULLBACK-C06,BULL_PULLBACK,pullback,LONG,18.0,18.0,0.3,0.1,0.85,1.8,0.0,48.0,50.0,0.0,0.25,1.2,False,0.0,True,2.0,1.5,24,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.85,""bb_width_percentile_max"":0.25,""breakout_range_atr"":1.2,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.0,""max_hold_bars"":24,""range_adx_max"":18.0,""range_ema_separation_atr"":0.1,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":48.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":2.0,""target_rr"":1.5,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.0}"
BULL_PULLBACK-C07,BULL_PULLBACK,pullback,LONG,26.0,22.0,0.3,0.4,0.45,1.8,0.2,48.0,48.0,50.0,0.35,0.8,True,0.25,True,1.5,2.0,72,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.35,""breakout_range_atr"":0.8,""cci_level"":50.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.2,""max_hold_bars"":72,""range_adx_max"":22.0,""range_ema_separation_atr"":0.4,""require_confirmation_break"":true,""require_vwap"":true,""rsi_level"":48.0,""rsi_reclaim"":48.0,""setup"":""pullback"",""stop_atr"":1.5,""target_rr"":2.0,""trend_adx_min"":26.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.25}"
BULL_PULLBACK-C08,BULL_PULLBACK,pullback,LONG,26.0,22.0,0.05,0.25,0.65,1.5,0.0,48.0,52.0,50.0,0.35,1.2,True,0.25,False,2.0,1.5,48,"{""atr_ratio_max"":1.5,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.35,""breakout_range_atr"":1.2,""cci_level"":50.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.0,""max_hold_bars"":48,""range_adx_max"":22.0,""range_ema_separation_atr"":0.25,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":48.0,""rsi_reclaim"":52.0,""setup"":""pullback"",""stop_atr"":2.0,""target_rr"":1.5,""trend_adx_min"":26.0,""trend_ema_separation_atr"":0.05,""vwap_distance_atr"":0.25}"
BULL_PULLBACK-C09,BULL_PULLBACK,pullback,LONG,18.0,14.0,0.3,0.4,0.65,2.1,0.4,45.0,50.0,0.0,0.25,1.0,False,0.25,True,1.25,1.5,72,"{""atr_ratio_max"":2.1,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.25,""breakout_range_atr"":1.0,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.4,""max_hold_bars"":72,""range_adx_max"":14.0,""range_ema_separation_atr"":0.4,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":45.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.5,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.25}"
BULL_PULLBACK-C10,BULL_PULLBACK,pullback,LONG,22.0,18.0,0.05,0.25,0.65,2.1,0.4,45.0,52.0,25.0,0.25,0.8,True,0.5,False,1.25,1.25,72,"{""atr_ratio_max"":2.1,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.25,""breakout_range_atr"":0.8,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.4,""max_hold_bars"":72,""range_adx_max"":18.0,""range_ema_separation_atr"":0.25,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":45.0,""rsi_reclaim"":52.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.25,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.05,""vwap_distance_atr"":0.5}"
