config_id,context,setup,direction,trend_adx_min,range_adx_max,trend_ema_separation_atr,range_ema_separation_atr,atr_ratio_min,atr_ratio_max,ema_touch_atr,rsi_level,rsi_reclaim,cci_level,bb_width_percentile_max,breakout_range_atr,require_vwap,vwap_distance_atr,require_confirmation_break,trigger_mode,stop_atr,target_rr,max_hold_bars,parameters_json
BULL_PULLBACK-LS01,BULL_PULLBACK,pullback,LONG,14.0,24.0,0.0,0.5,0.65,2.6,0.25,50.0,50.0,0.0,0.35,0.8,True,0.4,False,CCI_MACD,1.0,1.25,72,"{""atr_ratio_max"":2.6,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.35,""breakout_range_atr"":0.8,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.25,""max_hold_bars"":72,""range_adx_max"":24.0,""range_ema_separation_atr"":0.5,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":50.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":1.0,""target_rr"":1.25,""trend_adx_min"":14.0,""trend_ema_separation_atr"":0.0,""trigger_mode"":""CCI_MACD"",""vwap_distance_atr"":0.4}"
BULL_PULLBACK-LS02,BULL_PULLBACK,pullback,LONG,22.0,16.0,0.05,0.5,0.3,2.6,0.0,45.0,50.0,0.0,0.35,0.6,False,0.4,True,RSI_CCI,1.0,1.75,48,"{""atr_ratio_max"":2.6,""atr_ratio_min"":0.3,""bb_width_percentile_max"":0.35,""breakout_range_atr"":0.6,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.0,""max_hold_bars"":48,""range_adx_max"":16.0,""range_ema_separation_atr"":0.5,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":45.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":1.0,""target_rr"":1.75,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.05,""trigger_mode"":""RSI_CCI"",""vwap_distance_atr"":0.4}"
BULL_PULLBACK-LS03,BULL_PULLBACK,pullback,LONG,14.0,20.0,0.0,0.15,0.3,2.2,0.0,55.0,52.0,25.0,0.35,1.0,False,0.0,True,RSI_CCI,1.25,1.75,96,"{""atr_ratio_max"":2.2,""atr_ratio_min"":0.3,""bb_width_percentile_max"":0.35,""breakout_range_atr"":1.0,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.0,""max_hold_bars"":96,""range_adx_max"":20.0,""range_ema_separation_atr"":0.15,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":55.0,""rsi_reclaim"":52.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.75,""trend_adx_min"":14.0,""trend_ema_separation_atr"":0.0,""trigger_mode"":""RSI_CCI"",""vwap_distance_atr"":0.0}"
BULL_PULLBACK-LS04,BULL_PULLBACK,pullback,LONG,18.0,16.0,0.15,0.3,0.65,2.2,0.0,45.0,48.0,25.0,0.35,0.8,True,0.4,True,CCI_MACD,1.5,1.75,96,"{""atr_ratio_max"":2.2,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.35,""breakout_range_atr"":0.8,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.0,""max_hold_bars"":96,""range_adx_max"":16.0,""range_ema_separation_atr"":0.3,""require_confirmation_break"":true,""require_vwap"":true,""rsi_level"":45.0,""rsi_reclaim"":48.0,""setup"":""pullback"",""stop_atr"":1.5,""target_rr"":1.75,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.15,""trigger_mode"":""CCI_MACD"",""vwap_distance_atr"":0.4}"
BULL_PULLBACK-LS05,BULL_PULLBACK,pullback,LONG,14.0,16.0,0.0,0.3,0.65,1.8,0.25,55.0,48.0,25.0,0.2,1.0,False,0.0,False,CCI_MACD,1.5,1.5,48,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.2,""breakout_range_atr"":1.0,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.25,""max_hold_bars"":48,""range_adx_max"":16.0,""range_ema_separation_atr"":0.3,""require_confirmation_break"":false,""require_vwap"":false,""rsi_level"":55.0,""rsi_reclaim"":48.0,""setup"":""pullback"",""stop_atr"":1.5,""target_rr"":1.5,""trend_adx_min"":14.0,""trend_ema_separation_atr"":0.0,""trigger_mode"":""CCI_MACD"",""vwap_distance_atr"":0.0}"
BULL_PULLBACK-LS06,BULL_PULLBACK,pullback,LONG,14.0,24.0,0.0,0.15,0.45,2.6,0.5,55.0,50.0,0.0,0.2,1.0,True,0.2,True,CCI_MACD,1.25,1.25,48,"{""atr_ratio_max"":2.6,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.2,""breakout_range_atr"":1.0,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.5,""max_hold_bars"":48,""range_adx_max"":24.0,""range_ema_separation_atr"":0.15,""require_confirmation_break"":true,""require_vwap"":true,""rsi_level"":55.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.25,""trend_adx_min"":14.0,""trend_ema_separation_atr"":0.0,""trigger_mode"":""CCI_MACD"",""vwap_distance_atr"":0.2}"
BULL_PULLBACK-LS07,BULL_PULLBACK,pullback,LONG,22.0,16.0,0.05,0.3,0.45,2.6,0.25,50.0,50.0,25.0,0.5,1.0,True,0.2,False,ALL_THREE,1.5,1.5,48,"{""atr_ratio_max"":2.6,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.5,""breakout_range_atr"":1.0,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.25,""max_hold_bars"":48,""range_adx_max"":16.0,""range_ema_separation_atr"":0.3,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":50.0,""rsi_reclaim"":50.0,""setup"":""pullback"",""stop_atr"":1.5,""target_rr"":1.5,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.05,""trigger_mode"":""ALL_THREE"",""vwap_distance_atr"":0.2}"
BULL_PULLBACK-LS08,BULL_PULLBACK,pullback,LONG,18.0,20.0,0.05,0.3,0.45,1.8,0.5,55.0,48.0,0.0,0.35,0.6,True,0.4,True,RSI_MACD,1.25,1.25,96,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.35,""breakout_range_atr"":0.6,""cci_level"":0.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.5,""max_hold_bars"":96,""range_adx_max"":20.0,""range_ema_separation_atr"":0.3,""require_confirmation_break"":true,""require_vwap"":true,""rsi_level"":55.0,""rsi_reclaim"":48.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.25,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.05,""trigger_mode"":""RSI_MACD"",""vwap_distance_atr"":0.4}"
BULL_PULLBACK-LS09,BULL_PULLBACK,pullback,LONG,22.0,24.0,0.05,0.15,0.3,1.8,0.5,45.0,52.0,25.0,0.5,0.6,False,0.2,True,ALL_THREE,1.0,1.75,48,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.3,""bb_width_percentile_max"":0.5,""breakout_range_atr"":0.6,""cci_level"":25.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.5,""max_hold_bars"":48,""range_adx_max"":24.0,""range_ema_separation_atr"":0.15,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":45.0,""rsi_reclaim"":52.0,""setup"":""pullback"",""stop_atr"":1.0,""target_rr"":1.75,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.05,""trigger_mode"":""ALL_THREE"",""vwap_distance_atr"":0.2}"
BULL_PULLBACK-LS10,BULL_PULLBACK,pullback,LONG,14.0,20.0,0.15,0.3,0.65,2.2,0.5,50.0,48.0,-50.0,0.2,0.8,True,0.2,True,RSI_CCI,1.25,1.25,96,"{""atr_ratio_max"":2.2,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.2,""breakout_range_atr"":0.8,""cci_level"":-50.0,""context"":""BULL_PULLBACK"",""direction"":""LONG"",""ema_touch_atr"":0.5,""max_hold_bars"":96,""range_adx_max"":20.0,""range_ema_separation_atr"":0.3,""require_confirmation_break"":true,""require_vwap"":true,""rsi_level"":50.0,""rsi_reclaim"":48.0,""setup"":""pullback"",""stop_atr"":1.25,""target_rr"":1.25,""trend_adx_min"":14.0,""trend_ema_separation_atr"":0.15,""trigger_mode"":""RSI_CCI"",""vwap_distance_atr"":0.2}"
