fold,train_start_utc,train_end_exclusive_utc,context,config_id,trades,net_pnl_usd,profit_factor,worst_sampled_segment_pf,eligible,selection_score,selected,parameters_json
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C01,33,-18.677686,0.323915,0.138811,False,,False,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.25,""breakout_range_atr"":1.2,""cci_level"":100.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.2,""max_hold_bars"":72,""range_adx_max"":22.0,""range_ema_separation_atr"":0.25,""require_confirmation_break"":true,""require_vwap"":true,""rsi_level"":60.0,""rsi_reclaim"":48.0,""setup"":""breakout"",""stop_atr"":2.0,""target_rr"":1.25,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.5}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C02,55,-33.269732,0.362743,0.182125,False,,False,"{""atr_ratio_max"":1.5,""atr_ratio_min"":0.85,""bb_width_percentile_max"":0.35,""breakout_range_atr"":1.0,""cci_level"":125.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.2,""max_hold_bars"":72,""range_adx_max"":22.0,""range_ema_separation_atr"":0.1,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":60.0,""rsi_reclaim"":50.0,""setup"":""breakout"",""stop_atr"":1.25,""target_rr"":2.0,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.05,""vwap_distance_atr"":0.0}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C03,21,-11.343886,0.253816,0.017388,False,,False,"{""atr_ratio_max"":2.1,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.35,""breakout_range_atr"":0.8,""cci_level"":75.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.4,""max_hold_bars"":24,""range_adx_max"":18.0,""range_ema_separation_atr"":0.1,""require_confirmation_break"":true,""require_vwap"":true,""rsi_level"":65.0,""rsi_reclaim"":48.0,""setup"":""breakout"",""stop_atr"":2.0,""target_rr"":1.25,""trend_adx_min"":26.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.0}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C04,25,-16.905022,0.361673,0.244216,False,,False,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.85,""bb_width_percentile_max"":0.35,""breakout_range_atr"":0.8,""cci_level"":75.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.0,""max_hold_bars"":72,""range_adx_max"":18.0,""range_ema_separation_atr"":0.25,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":65.0,""rsi_reclaim"":50.0,""setup"":""breakout"",""stop_atr"":1.25,""target_rr"":2.0,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.0}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C05,23,-15.780916,0.281523,0.167309,False,,False,"{""atr_ratio_max"":2.1,""atr_ratio_min"":0.65,""bb_width_percentile_max"":0.25,""breakout_range_atr"":1.2,""cci_level"":125.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.0,""max_hold_bars"":72,""range_adx_max"":18.0,""range_ema_separation_atr"":0.25,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":60.0,""rsi_reclaim"":50.0,""setup"":""breakout"",""stop_atr"":1.25,""target_rr"":1.5,""trend_adx_min"":26.0,""trend_ema_separation_atr"":0.05,""vwap_distance_atr"":0.5}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C06,27,-16.93768,0.249066,0.098111,False,,False,"{""atr_ratio_max"":1.5,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.15,""breakout_range_atr"":0.8,""cci_level"":125.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.4,""max_hold_bars"":48,""range_adx_max"":14.0,""range_ema_separation_atr"":0.4,""require_confirmation_break"":false,""require_vwap"":false,""rsi_level"":55.0,""rsi_reclaim"":52.0,""setup"":""breakout"",""stop_atr"":1.5,""target_rr"":1.5,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.05,""vwap_distance_atr"":0.25}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C07,7,-3.391866,0.412601,0.0,False,,False,"{""atr_ratio_max"":2.1,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.15,""breakout_range_atr"":1.2,""cci_level"":100.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.0,""max_hold_bars"":48,""range_adx_max"":22.0,""range_ema_separation_atr"":0.4,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":65.0,""rsi_reclaim"":48.0,""setup"":""breakout"",""stop_atr"":2.0,""target_rr"":1.5,""trend_adx_min"":26.0,""trend_ema_separation_atr"":0.15,""vwap_distance_atr"":0.5}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C08,18,-13.980245,0.302417,0.0,False,,False,"{""atr_ratio_max"":1.5,""atr_ratio_min"":0.85,""bb_width_percentile_max"":0.15,""breakout_range_atr"":1.2,""cci_level"":75.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.2,""max_hold_bars"":48,""range_adx_max"":18.0,""range_ema_separation_atr"":0.25,""require_confirmation_break"":false,""require_vwap"":false,""rsi_level"":60.0,""rsi_reclaim"":52.0,""setup"":""breakout"",""stop_atr"":1.5,""target_rr"":2.0,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.3,""vwap_distance_atr"":0.25}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C09,34,-22.14404,0.256421,0.206975,False,,False,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.85,""bb_width_percentile_max"":0.25,""breakout_range_atr"":0.8,""cci_level"":75.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.4,""max_hold_bars"":48,""range_adx_max"":22.0,""range_ema_separation_atr"":0.4,""require_confirmation_break"":true,""require_vwap"":false,""rsi_level"":55.0,""rsi_reclaim"":50.0,""setup"":""breakout"",""stop_atr"":1.5,""target_rr"":1.25,""trend_adx_min"":22.0,""trend_ema_separation_atr"":0.15,""vwap_distance_atr"":0.5}"
2023-01 to 2023-06,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,BEAR_BREAKOUT,BEAR_BREAKOUT-C10,76,-36.655606,0.284643,0.128261,False,,False,"{""atr_ratio_max"":1.8,""atr_ratio_min"":0.45,""bb_width_percentile_max"":0.35,""breakout_range_atr"":1.0,""cci_level"":100.0,""context"":""BEAR_BREAKOUT"",""direction"":""SHORT"",""ema_touch_atr"":0.4,""max_hold_bars"":24,""range_adx_max"":14.0,""range_ema_separation_atr"":0.1,""require_confirmation_break"":false,""require_vwap"":true,""rsi_level"":55.0,""rsi_reclaim"":52.0,""setup"":""breakout"",""stop_atr"":1.25,""target_rr"":1.25,""trend_adx_min"":18.0,""trend_ema_separation_atr"":0.05,""vwap_distance_atr"":0.25}"
