scenario,execution_spread,fee_per_side,slippage_per_fill,window,trades,final_balance,return_pct,profit_factor,win_rate_pct,max_drawdown_usd,simulated_fees_usd
Zero execution friction,0.0,0.0,0.0,Development (2019-09 to 2022-12),17,92.4175,-7.5825,0.4994,23.5294,13.1708,0.0
Zero execution friction,0.0,0.0,0.0,Validation (2023-2024),11,102.6034,2.6034,1.3473,45.4545,4.3002,0.0
Zero execution friction,0.0,0.0,0.0,Holdout (2025 onward),24,107.6709,7.6709,1.4645,50.0,3.4364,0.0
Low friction,0.1,0.0001,0.01,Development (2019-09 to 2022-12),17,91.2076,-8.7924,0.453,23.5294,14.1794,1.0715
Low friction,0.1,0.0001,0.01,Validation (2023-2024),11,101.5921,1.5921,1.1988,45.4545,4.8628,0.8882
Low friction,0.1,0.0001,0.01,Holdout (2025 onward),24,101.9286,1.9286,1.1031,45.8333,3.4828,2.2629
Moderate friction,0.2,0.0002,0.02,Development (2019-09 to 2022-12),17,89.961,-10.039,0.4108,23.5294,15.2262,2.1299
Moderate friction,0.2,0.0002,0.02,Validation (2023-2024),11,101.241,1.241,1.1573,45.4545,4.7797,1.774
Moderate friction,0.2,0.0002,0.02,Holdout (2025 onward),24,96.2884,-3.7116,0.8214,41.6667,7.4579,4.3673
Current model,0.4,0.0004,0.03,Development (2019-09 to 2022-12),17,87.9297,-12.0703,0.3487,23.5294,16.8833,4.2138
Current model,0.4,0.0004,0.03,Validation (2023-2024),11,99.6764,-0.3236,0.9619,45.4545,5.4738,3.5211
Current model,0.4,0.0004,0.03,Holdout (2025 onward),24,92.0841,-7.9159,0.6525,41.6667,9.9336,8.5598
