definition,impulse_atr_multiple,pullback_min,pullback_max,max_pullback_minutes,subset,window,candidates,hit_0_5r_pct,hit_1r_pct,hit_1_5r_pct,hit_2r_pct,stop_first_pct,median_max_r,median_min_r
Standard,1.25,0.25,0.6,240,All candidates,Development (2019-09 to 2022-12),157,48.41,32.48,24.2,19.75,38.85,0.489,-0.755
Standard,1.25,0.25,0.6,240,All candidates,Validation (2023-2024),139,45.32,28.78,20.14,12.23,44.6,0.447,-0.791
Standard,1.25,0.25,0.6,240,All candidates,Holdout (2025 onward),125,56.0,41.6,28.8,23.2,49.6,0.748,-0.967
Standard,1.25,0.25,0.6,240,Prior-day stress allowed,Development (2019-09 to 2022-12),157,48.41,32.48,24.2,19.75,38.85,0.489,-0.755
Standard,1.25,0.25,0.6,240,Prior-day stress allowed,Validation (2023-2024),139,45.32,28.78,20.14,12.23,44.6,0.447,-0.791
Standard,1.25,0.25,0.6,240,Prior-day stress allowed,Holdout (2025 onward),125,56.0,41.6,28.8,23.2,49.6,0.748,-0.967
Conservative,1.5,0.25,0.5,180,All candidates,Development (2019-09 to 2022-12),96,47.92,32.29,20.83,15.62,36.46,0.467,-0.752
Conservative,1.5,0.25,0.5,180,All candidates,Validation (2023-2024),96,48.96,28.12,17.71,10.42,46.88,0.482,-0.857
Conservative,1.5,0.25,0.5,180,All candidates,Holdout (2025 onward),66,59.09,45.45,30.3,27.27,39.39,0.838,-0.76
Conservative,1.5,0.25,0.5,180,Prior-day stress allowed,Development (2019-09 to 2022-12),96,47.92,32.29,20.83,15.62,36.46,0.467,-0.752
Conservative,1.5,0.25,0.5,180,Prior-day stress allowed,Validation (2023-2024),96,48.96,28.12,17.71,10.42,46.88,0.482,-0.857
Conservative,1.5,0.25,0.5,180,Prior-day stress allowed,Holdout (2025 onward),66,59.09,45.45,30.3,27.27,39.39,0.838,-0.76
