definition,impulse_atr_multiple,pullback_min,pullback_max,max_pullback_minutes,subset,window,candidates,hit_0_5r_pct,hit_1r_pct,hit_1_5r_pct,hit_2r_pct,stop_first_pct,median_max_r,median_min_r
Standard,1.25,0.25,0.6,240,All candidates,Development (2019-09 to 2022-12),93,38.71,18.28,11.83,10.75,38.71,0.279,-0.752
Standard,1.25,0.25,0.6,240,All candidates,Validation (2023-2024),141,41.13,22.7,16.31,11.35,38.3,0.369,-0.659
Standard,1.25,0.25,0.6,240,All candidates,Holdout (2025 onward),95,47.37,31.58,22.11,17.89,47.37,0.454,-0.935
Standard,1.25,0.25,0.6,240,Prior-day stress allowed,Development (2019-09 to 2022-12),93,38.71,18.28,11.83,10.75,38.71,0.279,-0.752
Standard,1.25,0.25,0.6,240,Prior-day stress allowed,Validation (2023-2024),141,41.13,22.7,16.31,11.35,38.3,0.369,-0.659
Standard,1.25,0.25,0.6,240,Prior-day stress allowed,Holdout (2025 onward),95,47.37,31.58,22.11,17.89,47.37,0.454,-0.935
Conservative,1.5,0.25,0.5,180,All candidates,Development (2019-09 to 2022-12),58,37.93,13.79,8.62,6.9,34.48,0.257,-0.747
Conservative,1.5,0.25,0.5,180,All candidates,Validation (2023-2024),98,42.86,19.39,12.24,9.18,35.71,0.418,-0.657
Conservative,1.5,0.25,0.5,180,All candidates,Holdout (2025 onward),53,54.72,33.96,22.64,20.75,35.85,0.569,-0.769
Conservative,1.5,0.25,0.5,180,Prior-day stress allowed,Development (2019-09 to 2022-12),58,37.93,13.79,8.62,6.9,34.48,0.257,-0.747
Conservative,1.5,0.25,0.5,180,Prior-day stress allowed,Validation (2023-2024),98,42.86,19.39,12.24,9.18,35.71,0.418,-0.657
Conservative,1.5,0.25,0.5,180,Prior-day stress allowed,Holdout (2025 onward),53,54.72,33.96,22.64,20.75,35.85,0.569,-0.769
