model,family,window,candidate_signals,suppressed_by_open_position,blocked_by_risk_guard,conflicting_composite_signals,trades,wins,losses,final_balance,net_pnl_usd,return_pct,profit_factor,win_rate_pct,max_realized_drawdown_usd,simulated_fees_usd
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),488,55,7,0,426,127,299,8.611075,-91.388925,-91.388925,0.424755,29.812207,92.544864,58.100672
Trend pullback — MACD + CCI,Trend pullback,Development (2019-09 to 2022-12),128,2,1,0,125,39,86,50.583512,-49.416488,-49.416488,0.408561,31.2,51.467072,30.821513
Trend pullback — value-confirmed,Trend pullback,Development (2019-09 to 2022-12),55,0,0,0,55,19,36,75.86628,-24.13372,-24.13372,0.452561,34.545455,27.909223,16.135454
Squeeze breakout — core,Squeeze breakout,Development (2019-09 to 2022-12),137,6,0,0,131,33,98,42.646104,-57.353896,-57.353896,0.31435,25.19084,59.801306,29.357051
Squeeze breakout — value-confirmed,Squeeze breakout,Development (2019-09 to 2022-12),137,6,0,0,131,33,98,42.646104,-57.353896,-57.353896,0.31435,25.19084,59.801306,29.357051
Range reversion — core,Range reversion,Development (2019-09 to 2022-12),7,0,0,0,7,1,6,92.466277,-7.533723,-7.533723,0.165363,14.285714,9.026352,2.417235
Range reversion — value-confirmed,Range reversion,Development (2019-09 to 2022-12),6,0,0,0,6,1,5,93.978237,-6.021763,-6.021763,0.201287,16.666667,7.539335,2.077326
Trend pullback — core,Trend pullback,Validation (2023-2024),260,29,8,0,223,67,156,23.237526,-76.762474,-76.762474,0.326359,30.044843,77.30968,45.676877
Trend pullback — MACD + CCI,Trend pullback,Validation (2023-2024),70,3,2,0,65,17,48,61.756335,-38.243665,-38.243665,0.260141,26.153846,39.13629,21.377142
Trend pullback — value-confirmed,Trend pullback,Validation (2023-2024),35,0,2,0,33,7,26,78.005383,-21.994617,-21.994617,0.257426,21.212121,24.09259,12.216572
Squeeze breakout — core,Squeeze breakout,Validation (2023-2024),74,5,0,0,69,14,55,51.414919,-48.585081,-48.585081,0.208865,20.289855,48.585081,22.649006
Squeeze breakout — value-confirmed,Squeeze breakout,Validation (2023-2024),73,5,0,0,68,14,54,52.424689,-47.575311,-47.575311,0.213141,20.588235,47.575311,22.475864
Range reversion — core,Range reversion,Validation (2023-2024),15,0,0,0,15,5,10,89.961016,-10.038984,-10.038984,0.272886,33.333333,11.093864,6.015475
Range reversion — value-confirmed,Range reversion,Validation (2023-2024),11,0,0,0,11,5,6,95.00942,-4.99058,-4.99058,0.432358,45.454545,7.019491,4.345399
Trend pullback — core,Trend pullback,Holdout (2025 onward),135,8,4,0,123,34,89,30.688741,-69.311259,-69.311259,0.261172,27.642276,69.440531,38.081264
Trend pullback — MACD + CCI,Trend pullback,Holdout (2025 onward),39,0,0,0,39,8,31,62.512023,-37.487977,-37.487977,0.186302,20.512821,38.098791,17.363877
Trend pullback — value-confirmed,Trend pullback,Holdout (2025 onward),19,0,0,0,19,4,15,75.528452,-24.471548,-24.471548,0.141814,21.052632,26.285793,8.955269
Squeeze breakout — core,Squeeze breakout,Holdout (2025 onward),58,1,1,0,56,15,41,56.743761,-43.256239,-43.256239,0.280943,26.785714,43.421929,24.54408
Squeeze breakout — value-confirmed,Squeeze breakout,Holdout (2025 onward),57,1,1,0,55,15,40,57.799414,-42.200586,-42.200586,0.28617,27.272727,42.372737,24.063637
Range reversion — core,Range reversion,Holdout (2025 onward),5,0,0,0,5,0,5,91.393105,-8.606895,-8.606895,0.0,0.0,8.606895,2.556685
Range reversion — value-confirmed,Range reversion,Holdout (2025 onward),5,0,0,0,5,0,5,91.393105,-8.606895,-8.606895,0.0,0.0,8.606895,2.556685
