strategy,family,window,opened_at_utc,closed_at_utc,direction,entry,exit,size_oz,stop_distance_usd,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,exit_reason,bars_held,ambiguous_ohlc_exit,balance_after
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-09T07:05:00+00:00,2019-09-09T11:05:00+00:00,SHORT,1507.98,1509.66,0.25,4.0,-0.42,0.150798,0.150966,-0.721764,TIME_EXIT,48,False,99.278236
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-10T13:05:00+00:00,2019-09-10T13:15:00+00:00,SHORT,1491.77,1497.37,0.2482,4.0,-1.38992,0.148103,0.148659,-1.686682,SL_HIT,2,False,97.591554
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-19T16:30:00+00:00,2019-09-19T20:30:00+00:00,LONG,1500.07,1498.24,0.244,4.0,-0.44652,0.146407,0.146228,-0.739155,TIME_EXIT,48,False,96.852399
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-20T15:40:00+00:00,2019-09-20T17:55:00+00:00,LONG,1503.16,1511.13,0.2421,4.0,1.929537,0.145566,0.146338,1.637633,TP_HIT,27,False,98.490032
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-23T07:25:00+00:00,2019-09-23T11:25:00+00:00,LONG,1515.15,1519.41,0.2462,4.0,1.048812,0.149212,0.149631,0.749969,TIME_EXIT,48,False,99.240001
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-24T18:40:00+00:00,2019-09-24T22:10:00+00:00,LONG,1530.14,1532.32,0.2481,4.0,0.540858,0.151851,0.152067,0.236939,DAY_EXIT,28,False,99.47694
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-25T13:00:00+00:00,2019-09-25T14:45:00+00:00,SHORT,1527.61,1519.64,0.2487,4.0,1.982139,0.151967,0.151174,1.678999,TP_HIT,21,False,101.155939
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-26T14:05:00+00:00,2019-09-26T15:05:00+00:00,SHORT,1506.81,1511.22,0.2529,4.0,-1.115289,0.152429,0.152875,-1.420593,SL_HIT,12,False,99.735346
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-26T17:40:00+00:00,2019-09-26T22:10:00+00:00,SHORT,1507.34,1504.42,0.2493,4.0,0.727956,0.150312,0.150021,0.427623,DAY_EXIT,40,False,100.162969
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-27T14:30:00+00:00,2019-09-27T15:40:00+00:00,SHORT,1492.1,1499.25,0.2504,4.0,-1.79036,0.149449,0.150165,-2.089974,SL_HIT,14,False,98.072996
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-09-30T14:15:00+00:00,2019-09-30T15:15:00+00:00,SHORT,1483.4,1475.43,0.2452,4.0,1.954244,0.145492,0.14471,1.664042,TP_HIT,12,False,99.737038
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-10-01T12:25:00+00:00,2019-10-01T14:05:00+00:00,SHORT,1465.69,1476.46,0.2493,4.0,-2.684961,0.146159,0.147233,-2.978352,SL_HIT,20,False,96.758685
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-10-03T10:25:00+00:00,2019-10-03T14:05:00+00:00,LONG,1501.42,1509.39,0.2419,4.0,1.927943,0.145277,0.146049,1.636617,TP_HIT,44,False,98.395302
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-10-07T15:05:00+00:00,2019-10-07T17:35:00+00:00,SHORT,1500.31,1492.34,0.246,4.0,1.96062,0.147631,0.146846,1.666143,TP_HIT,30,False,100.061446
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-10-14T13:40:00+00:00,2019-10-14T14:10:00+00:00,LONG,1493.54,1489.07,0.2502,4.0,-1.118394,0.149473,0.149026,-1.416894,SL_HIT,6,False,98.644552
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-10-15T08:35:00+00:00,2019-10-15T09:00:00+00:00,SHORT,1491.56,1495.6,0.2466,4.0,-0.996264,0.147127,0.147526,-1.290917,SL_HIT,5,False,97.353635
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-10-22T13:00:00+00:00,2019-10-22T15:50:00+00:00,LONG,1487.08,1482.8,0.2434,4.0,-1.041752,0.144782,0.144365,-1.3309,SL_HIT,34,False,96.022735
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-10-31T13:35:00+00:00,2019-10-31T17:35:00+00:00,LONG,1507.54,1512.15,0.2401,4.0,1.106861,0.144784,0.145227,0.81685,TIME_EXIT,48,False,96.839585
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-01T15:40:00+00:00,2019-11-01T17:25:00+00:00,LONG,1511.14,1507.0,0.2421,4.0,-1.002294,0.146339,0.145938,-1.294571,SL_HIT,21,False,95.545014
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-04T15:25:00+00:00,2019-11-04T19:25:00+00:00,SHORT,1510.2,1506.86,0.2389,4.0,0.797926,0.144315,0.143996,0.509616,TIME_EXIT,48,False,96.05463
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-07T13:35:00+00:00,2019-11-07T14:30:00+00:00,SHORT,1482.8,1488.14,0.2401,4.0,-1.282134,0.142408,0.142921,-1.567463,SL_HIT,11,False,94.487167
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-11T14:50:00+00:00,2019-11-11T15:20:00+00:00,SHORT,1460.7,1452.73,0.2362,4.0,1.882514,0.138007,0.137254,1.607253,TP_HIT,6,False,96.09442
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-12T12:30:00+00:00,2019-11-12T16:30:00+00:00,SHORT,1452.87,1452.11,0.2402,4.0,0.182552,0.139592,0.139519,-0.096558,TIME_EXIT,48,False,95.997862
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-15T14:25:00+00:00,2019-11-15T18:25:00+00:00,SHORT,1465.54,1467.98,0.24,4.0,-0.5856,0.140692,0.140926,-0.867218,TIME_EXIT,48,False,95.130644
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-19T14:05:00+00:00,2019-11-19T14:55:00+00:00,SHORT,1466.5,1470.64,0.2378,4.0,-0.984492,0.139493,0.139887,-1.263873,SL_HIT,10,False,93.866771
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-20T07:45:00+00:00,2019-11-20T11:45:00+00:00,LONG,1476.86,1475.4,0.2347,4.0,-0.342662,0.138648,0.138511,-0.61982,TIME_EXIT,48,False,93.246951
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-20T18:55:00+00:00,2019-11-20T21:00:00+00:00,SHORT,1469.88,1473.09,0.2331,4.0,-0.748251,0.137052,0.137351,-1.022654,DAY_EXIT,25,False,92.224297
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-11-27T15:55:00+00:00,2019-11-27T19:55:00+00:00,SHORT,1454.83,1454.94,0.2306,4.0,-0.025366,0.134194,0.134204,-0.293763,TIME_EXIT,48,False,91.930534
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-12-05T08:25:00+00:00,2019-12-05T12:25:00+00:00,LONG,1476.23,1474.99,0.2298,4.0,-0.284952,0.135695,0.135581,-0.556228,TIME_EXIT,48,False,91.374306
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-12-18T14:55:00+00:00,2019-12-18T15:35:00+00:00,SHORT,1473.78,1478.65,0.2284,4.0,-1.112308,0.134645,0.135089,-1.382042,SL_HIT,8,False,89.992264
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-12-18T16:35:00+00:00,2019-12-18T20:35:00+00:00,SHORT,1474.66,1476.16,0.225,4.0,-0.3375,0.132719,0.132854,-0.603074,TIME_EXIT,48,False,89.38919
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2019-12-31T14:05:00+00:00,2019-12-31T14:40:00+00:00,LONG,1522.2,1516.27,0.2235,4.0,-1.325355,0.136085,0.135555,-1.596994,SL_HIT,7,False,87.792196
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-01-07T09:10:00+00:00,2020-01-07T13:10:00+00:00,LONG,1566.92,1566.94,0.2195,4.0,0.00439,0.137576,0.137577,-0.270763,TIME_EXIT,48,False,87.521433
